dimensions,fuzzy_sets,rmse,mae,mape,smape,nrmse,rules,rmse_std,mae_std,mape_std,smape_std,nrmse_std,rules_std
2,10,0.549,0.418,88.727,24.827,0.105,293.267,0.139,0.091,50.916,7.388,0.076,37.347
2,20,0.511,0.355,56.347,17.858,0.089,783.933,0.181,0.126,43.208,7.451,0.035,133.629
2,30,0.469,0.297,51.887,15.694,0.082,1305.9,0.184,0.132,46.952,8.026,0.034,232.465
2,40,0.41,0.245,43.124,13.525,0.071,1834.167,0.196,0.139,35.751,7.688,0.035,318.361
2,50,0.366,0.204,37.303,11.529,0.066,2363.967,0.202,0.128,33.835,7.095,0.042,392.313
3,10,0.517,0.374,78.947,22.804,0.097,1193.067,0.132,0.082,41.074,6.217,0.064,207.116
3,20,0.368,0.24,42.782,13.813,0.071,3229.333,0.146,0.088,33.769,6.43,0.065,693.756
3,30,0.276,0.155,31.755,10.163,0.054,5305.267,0.143,0.089,27.629,6.18,0.055,1154.723
3,40,0.204,0.108,22.335,7.564,0.039,7241.233,0.13,0.078,18.858,5.132,0.038,1512.994
3,50,0.162,0.079,17.528,5.807,0.032,9009.633,0.117,0.067,17.783,4.77,0.038,1785.104
4,10,0.421,0.309,70.581,20.532,0.08,3829.033,0.135,0.092,37.804,6.051,0.06,580.21
4,20,0.236,0.147,28.93,9.689,0.047,9769.167,0.116,0.07,25.439,5.465,0.053,1452.254
4,30,0.138,0.071,15.501,5.438,0.029,15197.0,0.098,0.055,16.838,4.197,0.04,2127.616
4,40,0.084,0.039,8.63,3.147,0.017,19832.8,0.074,0.038,9.787,2.844,0.025,2580.607
4,50,0.061,0.023,5.24,1.941,0.012,23767.333,0.065,0.027,7.152,2.111,0.018,2925.813
5,10,0.371,0.267,63.842,18.662,0.071,9389.767,0.118,0.082,33.278,5.397,0.055,1296.373
5,20,0.174,0.104,21.436,7.283,0.035,22260.033,0.092,0.054,19.741,4.456,0.038,3005.088
5,30,0.089,0.042,9.6,3.551,0.018,33730.267,0.06,0.031,9.899,2.896,0.024,4234.678
5,40,0.049,0.021,4.655,1.783,0.01,43510.0,0.043,0.019,5.392,1.752,0.012,5125.01
5,50,0.028,0.011,2.265,0.949,0.006,51707.133,0.028,0.012,3.045,1.139,0.007,5814.685
