dimensions,fuzzy_sets,rmse,mae,mape,smape,nrmse,rules,rmse_std,mae_std,mape_std,smape_std,nrmse_std,rules_std
2,10,0.424,0.306,177.341,18.895,0.081,427.933,0.39,0.295,345.486,8.299,0.035,70.018
2,20,0.31,0.188,83.209,12.102,0.058,1420.433,0.31,0.194,185.737,6.629,0.028,259.286
2,30,0.266,0.131,49.896,8.401,0.05,2531.4,0.259,0.127,109.441,5.119,0.028,464.435
2,40,0.193,0.087,33.955,5.882,0.038,3527.6,0.168,0.078,86.522,3.604,0.022,633.657
2,50,0.169,0.062,17.823,4.285,0.034,4392.133,0.135,0.047,28.321,2.479,0.019,743.598
3,10,0.275,0.186,97.914,12.958,0.054,1891.833,0.238,0.172,217.493,6.545,0.023,289.699
3,20,0.143,0.056,15.838,4.171,0.028,5552.167,0.124,0.043,20.344,2.307,0.016,883.163
3,30,0.102,0.024,5.619,1.678,0.019,8545.833,0.126,0.02,5.891,1.118,0.014,1364.805
3,40,0.055,0.012,2.548,0.845,0.011,10652.167,0.048,0.01,2.219,0.599,0.01,1660.391
3,50,0.04,0.008,1.45,0.482,0.008,12207.933,0.064,0.011,1.587,0.413,0.008,1772.687
4,10,0.147,0.079,58.305,6.415,0.03,6132.8,0.107,0.057,163.683,3.274,0.014,872.264
4,20,0.045,0.013,3.598,1.035,0.01,15007.433,0.034,0.01,6.39,0.814,0.009,2146.951
4,30,0.015,0.004,1.229,0.251,0.003,21103.267,0.019,0.005,3.621,0.26,0.004,2921.508
4,40,0.006,0.003,0.338,0.11,0.001,24948.567,0.009,0.006,0.482,0.12,0.002,3316.718
4,50,0.003,0.003,0.259,0.076,0.001,27655.833,0.006,0.006,0.462,0.096,0.001,3279.583
5,10,0.081,0.035,23.324,3.202,0.018,17721.767,0.049,0.02,69.198,1.864,0.01,2851.4
5,20,0.012,0.005,0.879,0.306,0.003,37324.3,0.013,0.006,1.429,0.391,0.003,5288.796
5,30,0.003,0.002,0.256,0.076,0.001,48771.233,0.004,0.005,0.474,0.102,0.001,6226.483
5,40,0.001,0.002,0.208,0.055,0.0,55388.833,0.002,0.006,0.447,0.079,0.0,6488.687
5,50,0.0,0.002,0.197,0.049,0.0,59766.567,0.001,0.006,0.448,0.079,0.0,6049.451
